club,game of two halves,it's a cliche,each game as it comes,twelfth man,form goes out the window,every game is a cup final,most important thing is we got the three points,goal worthy of winning any tie,type of games,what dreams are made of,over the moon,hunger,work to do,make the difference,tough place to go,park the bus,makes himself big,one game at a time,almost hit it too well,played a blinder,good squad on paper,bit of quality,kitchen sink,dangerous score line,in and around,total_cliche_score
Bournemouth,0,0,0,0,0,0,0,0,2,0,0,0,1,20,0,0,0,1,0,0,0,1,0,0,0,25
Brighton,0,0,0,0,0,0,0,0,0,0,1,7,1,27,1,0,0,1,0,0,0,3,0,0,2,43
Chelsea,0,0,1,0,0,0,0,0,2,0,0,0,1,9,0,0,0,0,0,0,0,5,0,0,3,21
Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Everton,0,0,0,0,0,0,0,0,2,0,0,0,12,5,3,0,0,0,0,0,0,0,0,0,25,47
Fulham,0,0,0,0,0,0,0,0,17,0,0,0,1,5,2,0,0,0,0,0,0,1,0,0,1,27
Leicester City,0,6,0,0,0,0,0,0,1,0,0,1,2,12,4,1,0,5,0,0,0,0,0,0,18,50
Liverpool,1,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,0,1,0,0,0,13,0,0,13,40
Manchester City,0,0,0,0,0,0,0,0,9,0,0,5,2,9,2,0,0,0,0,0,0,2,4,1,11,45
Manchester United,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,7
Newcastle,0,4,0,0,0,0,0,0,13,0,2,5,9,26,4,0,0,0,0,0,0,3,0,3,27,96
Southampton,0,0,0,0,0,0,0,0,0,0,0,3,8,11,2,0,0,1,0,0,0,1,0,0,21,47
West Ham,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,6,15
