club,manager,start_date,end_date
Arsenal,Mikel Arteta,2024-08-01,
Aston Villa,Unai Emery,2024-08-01,
Bournemouth,Andoni Iraola,2024-08-01,
Brentford,T. Frank,2024-08-01,
Brighton,F. Hürzeler,2024-09-01,
Chelsea,E. Maresca,2024-08-01,
Crystal Palace,O. Glasner,2024-08-01,
Everton,S. Dyche,2024-08-01,2025-01-01
Everton,D. Moyes,2025-01-01,
Fulham,Marco Silva,2024-08-01,
Ipswich,K. McKenna,2024-08-01,
Leicester,S. Cooper,2024-08-01,2024-12-01
Leicester,R. van Nistelrooy,2024-12-01,
Liverpool,J. Klopp,2024-08-01,2024-08-01
Liverpool,A. Slot,2024-08-01,
Manchester City,Guardiola,2024-08-01,
Manchester United,E. ten Hag,2024-08-01,2024-12-01
Manchester United,Ruben Amorim,2024-12-01,
Newcastle,E. Howe,2024-08-01,
Nottingham Forest,Nuno Espírito Santo,2024-08-01,
Southampton,R. Martin,2024-08-01,2024-12-01
Southampton,I. Juric,2024-12-01,
Tottenham,A. Postecoglou,2024-08-01,
West Ham,Lopetegui,2024-08-01,2025-01-01
West Ham,G. Potter,2025-01-01,
Wolves,G. O'Neil,2024-08-01,2025-01-01
Wolves,Vítor Pereira,2025-01-01,
